character,unicode,usage_count
절,U+C808,35
젊,U+C80A,2
점,U+C810,26
접,U+C811,6
정,U+C815,358
젖,U+C816,1
제,U+C81C,231
젠,U+C820,57
젯,U+C82F,2
져,U+C838,69
졌,U+C84C,33
조,U+C870,228
족,U+C871,23
존,U+C874,101
졸,U+C878,5
좀,U+C880,61
종,U+C885,68
좇,U+C887,1
좋,U+C88B,181
죄,U+C8C4,13
죠,U+C8E0,4
주,U+C8FC,177
죽,U+C8FD,32
준,U+C900,49
줄,U+C904,59
줌,U+C90C,5
중,U+C911,104
줘,U+C918,111
줬,U+C92C,39
쥐,U+C950,1
즈,U+C988,1
즐,U+C990,11
증,U+C99D,14
지,U+C9C0,2155
직,U+C9C1,155
진,U+C9C4,187
질,U+C9C8,47
짐,U+C9D0,5
집,U+C9D1,57
짓,U+C9D3,37
징,U+C9D5,8
짚,U+C9DA,5
짜,U+C9DC,26
짝,U+C9DD,22
짠,U+C9E0,1
짧,U+C9E7,1
짱,U+C9F1,1
째,U+C9F8,6
쨌,U+CA0C,6
쩌,U+CA4C,11
쩔,U+CA54,16
쩜,U+CA5C,1
쪄,U+CA84,5
쪼,U+CABC,1
쪽,U+CABD,63
쫓,U+CAD3,6
쭈,U+CB48,2
쭐,U+CB50,1
쯤,U+CBE4,27
찌,U+CC0C,8
찍,U+CC0D,3
찜,U+CC1C,2
찢,U+CC22,5
차,U+CC28,67
착,U+CC29,42
찬,U+CC2C,30
찮,U+CC2E,123
참,U+CC38,33
찻,U+CC3B,27
찼,U+CC3C,9
창,U+CC3D,4
찾,U+CC3E,107
채,U+CC44,13
책,U+CC45,31
챙,U+CC59,1
처,U+CC98,98
척,U+CC99,7
천,U+CC9C,47
철,U+CCA0,21
첨,U+CCA8,1
첫,U+CCAB,10
청,U+CCAD,67
체,U+CCB4,74
쳇,U+CCC7,9
쳐,U+CCD0,34
쳤,U+CCE4,22
초,U+CD08,22
촉,U+CD09,5
촌,U+CD0C,5
촙,U+CD19,1
총,U+CD1D,1
최,U+CD5C,42
추,U+CD94,19
축,U+CD95,8
춘,U+CD98,2
출,U+CD9C,29
충,U+CDA9,16
춰,U+CDB0,6
취,U+CDE8,11
츠,U+CE20,101
층,U+CE35,5
치,U+CE58,74
칙,U+CE59,13
친,U+CE5C,38
칠,U+CE60,18
침,U+CE68,27
칭,U+CE6D,7
카,U+CE74,68
칼,U+CE7C,3
캉,U+CE89,1
커,U+CEE4,13
컨,U+CEE8,2
컷,U+CEF7,7
케,U+CF00,25
켈,U+CF08,12
켜,U+CF1C,43
켰,U+CF30,7
코,U+CF54,29
콘,U+CF58,3
콜,U+CF5C,1
콤,U+CF64,10
콧,U+CF67,4
콩,U+CF69,9
쾅,U+CF85,2
쾌,U+CF8C,1
쿠,U+CFE0,32
쿨,U+CFE8,1
쿵,U+CFF5,1
크,U+D06C,54
큭,U+D06D,3
큰,U+D070,56
클,U+D074,4
큼,U+D07C,18
키,U+D0A4,79
킨,U+D0A8,7
킬,U+D0AC,17
킷,U+D0B7,2
타,U+D0C0,69
탁,U+D0C1,48
탄,U+D0C4,7
탈,U+D0C8,9
탐,U+D0D0,6
탑,U+D0D1,1
탓,U+D0D3,9
탔,U+D0D4,5
탕,U+D0D5,1
태,U+D0DC,51
택,U+D0DD,4
터,U+D130,77
턱,U+D131,5
털,U+D138,4
텀,U+D140,1
테,U+D14C,85
텐,U+D150,38
텨,U+D168,1
토,U+D1A0,98
톨,U+D1A8,1
톱,U+D1B1,3
통,U+D1B5,39
투,U+D22C,14
툴,U+D234,2
툼,U+D23C,1
퉜,U+D25C,1
튀,U+D280,6
튜,U+D29C,2
트,U+D2B8,302
특,U+D2B9,21
튼,U+D2BC,15
틀,U+D2C0,14
틈,U+D2C8,1
티,U+D2F0,1
틱,U+D2F1,1
틸,U+D2F8,1
팀,U+D300,1
파,U+D30C,48
팎,U+D30E,2
판,U+D310,23
팔,U+D314,21
팡,U+D321,2
패,U+D328,17
팬,U+D32C,2
퍼,U+D37C,17
페,U+D398,15
펜,U+D39C,2
펠,U+D3A0,1
편,U+D3B8,58
펼,U+D3BC,2
평,U+D3C9,25
폐,U+D3D0,4
포,U+D3EC,82
폭,U+D3ED,2
폴,U+D3F4,4
표,U+D45C,11
푸,U+D478,9
푹,U+D479,1
풀,U+D480,29
품,U+D488,27
풉,U+D489,1
풍,U+D48D,12
프,U+D504,90
픈,U+D508,5
플,U+D50C,47
픔,U+D514,12
피,U+D53C,491
핀,U+D540,2
필,U+D544,56
핑,U+D551,1
하,U+D558,4282
학,U+D559,3
한,U+D55C,594
할,U+D560,254
함,U+D568,86
합,U+D569,28
핫,U+D56B,32
항,U+D56D,32
해,U+D574,783
핵,U+D575,1
햇,U+D587,1
했,U+D588,237
행,U+D589,437
향,U+D5A5,33
허,U+D5C8,26
헉,U+D5C9,5
험,U+D5D8,32
헛,U+D5DB,2
헤,U+D5E4,64
헥,U+D5E5,28
헬,U+D5EC,5
헷,U+D5F7,4
혀,U+D600,30
현,U+D604,12
협,U+D611,5
혔,U+D614,8
형,U+D615,18
호,U+D638,47
혹,U+D639,49
혼,U+D63C,35
홍,U+D64D,1
화,U+D654,79
확,U+D655,47
환,U+D658,7
활,U+D65C,23
황,U+D669,6
회,U+D68C,715
획,U+D68D,6
효,U+D6A8,9
후,U+D6C4,30
훈,U+D6C8,3
훌,U+D6CC,8
훔,U+D6D4,5
훨,U+D6E8,4
휘,U+D718,3
휩,U+D729,3
휴,U+D734,7
흉,U+D749,4
흐,U+D750,35
흑,U+D751,1
흔,U+D754,3
흘,U+D758,8
흠,U+D760,6
흡,U+D761,1
흥,U+D765,14
흩,U+D769,4
희,U+D76C,21
히,U+D788,202
힌,U+D78C,11
힐,U+D790,1
힘,U+D798,75
